WEEKLY,,,,,,,,,,MONTHLY,,,,,,,,
MARKET CUSTOMERS,,,,,,,,,,MARKET CUSTOMERS,,,,,,,,
DATE,ZONE 1,Zone 1 Sales,Outside,Zone 2,Zone 2 Sales,Zone 3,Zone 3 Sales,TOTAL Sales,Revenue,Month ,TOTAL,Revenue,,Month,Zone 1,Zone 2,Zone 3,Total
4/27/2016,79,,92,,,,,171,,,,,,,,,,
4/20/2016,68,,45,,,,,113,,,,,,,,,,
4/13/2016,81,,59,,,,,140,,,,,,,,,,
4/6/2016,64,,68,45,,23,,132,,,,,,,,,,
3/30/2016,44,,28,12,,16,,72,,,,,,,,,,
3/16/2016,75,,125,41,,84,,200,,,,,,,,,,
3/9/2016,69,,45,28,,17,,114,,,,,,,,,,
3/2/2016,71,,70,50,,20,,141,,,,,,,,,,
2/24/2016,56,,68,42,,26,,124,,,,,,,,,,
2/17/2016,41,,39,23,,16,,80,,,,,,,,,,
2/10/2016,39,,67,26,,41,,106,,,,,,,,,,
2/3/2016,46,,41,,,,,87,,,,,,,,,,
1/27/2016,58,,50,23,,27,,108,,,,,,,,,,
1/20/2016,47,,40,,,,,87,,,,,,,,,,
1/13/2016,31,,47,,,,,78,,,,,,,,,,
1/6/2016,20,,25,,,,,45,,,,,,,,,,
12/30/2015,0,,0,,,,,0,,,,,,,,,,
12/23/2015,25,,46,,,,,71,,,,,,,,,,
12/16/2015,28,,40,,,,,68,,,,,,,,,,
12/9/2015,38,,38,,,,,76,,,,,,,,,,
12/2/2015,28,,20,12,,8,,48,,,,,,,,,,
11/25/2015,34,,49,,,,,83,,,,,,,,,,
11/18/2015,36,,61,,,,,97,,,,,,,,,,
11/11/2015,38,,72,,,,,110,,,,,,,,,,
11/4/2015,44,,46,,,,,90,,,,,,,,,,
10/28/2015,66,,34,,,,,100,,,,,,,,,,
10/21/2015,70,,35,,,,,105,,,,,,,,,,
10/14/2015,32,,46,,,,,78,,,,,,,,,,
10/7/2015,53,,61,,,,,114,,,,,,,,,,
9/30/2015,56,,45,,,,,101,,,,,,,,,,
9/23/2015,,,,,,,,37,,,,,,,,,,
9/16/2015,15,,21,,,,,36,,,,,,,,,,
9/9/2015,22,,27,,,,,59,,,,,,,,,,
9/2/2015,33,,31,,,,,64,,,,,,,,,,
8/26/2015,15,,23,,,,,38,,,,,,,,,,
8/19/2015,25,,18,,,,,43,,,,,,,,,,
8/12/2015,21,,22,,,,,43,,,,,,,,,,
8/5/2015,12,,16,,,,,28,,,,,,,,,,
7/29/2015,15,,18,,,,,33,,,,,,,,,,
7/22/2015,15,,22,,,,,37,,,,,,,,,,
7/15/2015,19,,19,,,,,38,,,,,,,,,,
7/8/2015,7,,18,,,,,25,,,,,,,,,,
7/1/2015,33,,27,,,,,60,,,,,,,,,,
6/23/2015,28,,15,,,,,43,,,,,,,,,,
6/17/2015,18,,22,,,,,40,,,,,,,,,,
6/10/2015,30,,17,,,,,47,,,,,,,,,,
6/3/2015,23,,21,,,,,44,,,,,,,,,,
5/27/2015,26,,23,,,,,49,,,,,,,,,,
5/20/2015,20,,31,,,,,51,,,,,,,,,,
5/13/2015,20,,23,,,,,43,,,,,,,,,,
5/6/2015,20,,20,,,,,40,,,,,,,,,,
4/29/2015,16,,31,,,,,47,,,,,,,,,,
4/22/2015,22,,43,,,,,65,,,,,,,,,,
4/15/2015,26,,30,,,,,56,,,,,,,,,,
4/8/2015,17,,47,,,,,64,,,,,,,,,,
3/31/2015,16,,16,,,,,32,,,,,,,,,,
3/25/2015,19,,18,,,,,37,,,,,,,,,,
3/18/2015,26,,48,,,,,74,,,,,,,,,,
3/11/2015,12,,11,,,,,23,,,,,,,,,,
3/4/2015,13,,14,,,,,27,,,,,,,,,,
15-16 FY Start,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,z,,,,,,,,
,,,,,,,,,,x,,,,,,,,
,,,,,,,,,,w,,,,,,,,
,,,,,,,,,,v,,,,,,,,
,,,,,,,,,,u,,,,,,,,
,,,,,,,,,,t,,,,,,,,
,,,,,,,,,,s,,,,,,,,
,,,,,,,,,,r,,,,,,,,
,,,,,,,,,,q,,,,,,,,
,,,,,,,,,,p,,,,,,,,
,,,,,,,,,,o,,,,,,,,
,,,,,,,,,,n,,,,,,,,
,,,,,,,,,,m,,,,,,,,
,,,,,,,,,,l,,,,,,,,
,,,,,,,,,,k,,,,,,,,
,,,,,,,,,,j,,,,,,,,
,,,,,,,,,,i,,,,,,,,
,,,,,,,,,,h,,,,,,,,
,,,,,,,,,,g,,,,,,,,
,,,,,,,,,,f,,,,,,,,
,,,,,,,,,,e,,,,,,,,
,,,,,,,,,,d,,,,,,,,
,,,,,,,,,,c,,,,,,,,
,,,,,,,,,,b,,,,,,,,
,,,,,,,,,,a,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,MONTH,Zone 1,Outside,Total Customers,,,
,,,,,,,,,,,,15-Sep,126,124,297,,,
,,,,,,,,,,Zone 1,,15-Oct,221,176,397,,,
,,,,,,,,,,294,,15-Nov,0,#REF!,#REF!,,,
,,,,,,,,,,252,,15-Dec,0,#REF!,#REF!,,,
,,,,,,,,,,207,,16-Jan,0,#REF!,#REF!,,,
,,,,,,,,,,3939,,16-Feb,0,#REF!,#REF!,,,
,,,,,,,,,,219,,16-Mar,0,#REF!,#REF!,,,
,,,,,,,,,,298,,16-Apr,0,#REF!,#REF!,,,
,,,,,,,,,,271,,,,,,,,
,,,,,,,,,,298,,,,,,,,
