 ,,,,,,,,Graphs,,,,,,,
DATE (Thursday is the last day of that weeks calculation - they go from Friday to Thursday),TOTAL BOXES,BASIC BOXES,FAMILY BOXES,ZONE 1,ZONE 2,ZONE 3,Revenue,Month,Zone 1,Zone 2,Zone 3,,Month,Total Boxes,Revenue
6/23/2015,33,21,12,5,3,25,,,,,,,,,
6/17/2015,27,17,10,3,2,22,,,,,,,,,
6/10/2015,46,33,13,11,3,32,,,,,,,,,
6/3/2015,59,40,19,5,4,50,,,,,,,,,
5/27/2015,85,61,24,7,10,68,,,,,,,,,
5/20/2015,79,53,26,3,7,69,,,,,,,,,
5/13/2015,89,63,26,4,9,76,,,,,,,,,
5/6/2015,111,83,28,6,12,93,,,,,,,,,
4/29/2015,89,64,25,6,8,75,,,,,,,,,
4/22/2015,105,68,37,6,9,90,,,,,,,,,
4/15/2015,70,48,22,11,8,51,,,,,,,,,
4/8/2015,102,75,27,9,9,82,,,,,,,,,
3/31/2015,111,78,33,7,7,97,,,,,,,,,
3/25/2015,93,62,31,10,7,76,,,,,,,,,
3/18/2015,113,78,35,9,4,100,,,,,,,,,
3/11/2015,133,90,43,15,8,110,,,,,,,,,
Start of FY 15-16,,,,,,,,,,,,,,,
